text,label,source
"Subject: GitHub: new pull request in phonetics repo

Dear Chiara De Venuto,

I hope this message finds you well.

The project is on track. Key milestones are documented in our shared folder: https://www.notion.so/projects/quarterly.

Happy to discuss further if needed.

Best regards,
Sara Moretti
GreenPath srl
Project Manager",0,legit_template
"Subject: Verify your email address

Hi Chiara, to finish your registration please verify your email address by clicking this link: https://trello.com/verify/email. The link expires in 48 hours.

Best regards,
John Miller
Acme Corp
Team Coordinator",0,hard_legit
"Subject: Confirm your new email

Hello Chiara, your two-factor authentication was enabled successfully. Your backup codes are available at https://www.notion.so/backup-codes.

Best regards,
Marco Rossi
DataWorks
Team Coordinator",0,hard_legit
"Subject: Confirm your new email

Dear Ms. De Venuto, your account password was recently changed. If this was not you, contact us at https://www.linkedin.com/help.

Best regards,
Luca Verdi
StudioNova
Team Coordinator",0,hard_legit
"Subject: Your order #48217 has shipped

Dear Chiara De Venuto,

I hope this message finds you well.

Attached is the agenda for our meeting on Friday at 14:30. Please review before the call.

Have a great day!

Best regards,
Luca Verdi
GreenPath srl
HR Specialist",0,legit_template
"Subject: Security alert: new device login

Dear Valued Member,

A withdrawal was attempted on your account. Stop it here: http://wellsfargo-security.biz/verify

Confirm your identity: http://wellsfargo-security.biz/verify !!

Send your bank account number and PIN to complete the transfer.

This is the FINAL NOTICE. Immediate action is required.

From: support@paypal.com | Reply-To: support@paypa1-secure.com

Attachment: invoice_99821.zip

Best regards,
Customer Support Team",1,phishing_template
"Subject: Subscription renewal notice

Dear Customer,

Hello, your subscription will renew soon. Manage your plan here: http://account-verification.xyz/confirm

Regards,
no-reply@amazon-security.net",1,hard_phishing
"Subject: Annual security review

Dear Member,

Hi, we are updating our records for all users. Please confirm your profile at http://paypal-customer-support.loan/refund.

Regards,
noreply@paypal-support.com",1,hard_phishing
"Subject: Your package could not be delivered

Dear Customer,

You have been selected for a reward. Claim it before it expires: http://secure-bank-login.top/update

Login and confirm: http://secure-bank-login.top/update

Send your bank account number and PIN to complete the transfer.

Your account will be locked permanently if you do not verify within 24 hours.

From: service@apple.com | Reply-To: noreply@amaz0n-update.com

Attachment: invoice_99821.zip

Best regards,
Customer Support Team",1,phishing_template
"Subject: Confirm your new email

Dear Ms. De Venuto, your account password was recently changed. If this was not you, contact us at https://www.amazon.com/help.

Best regards,
John Miller
TechFlow Ltd
Support Lead",0,hard_legit
